Original;Conceptos
crypt;encrypt,vault,underground,church
wellsuited;
outingsrecommended;
complaint;ailment,charge,complain,charge,criminal,disorder
battlestar;
judgment;opinion,sagacity,judge,power,prejudge,opinion,award
frank;postmark,straight-from-the-shoulder,grey-heron,francise,franc,self-evident,obvious
discernible;observable,palpable,discern,intellect,discernment,senses,perceptible,perceptible,noticeable
surf;browse,waves,sport,internet,surfboard,shoreline
racism;ethnocentrism,inherent,affirmative-action,ku-klux-klan,racial-discrimination
characterdepth;
sexuality;sex,sexual,potency,heterosexuality,ambisexuality
journalism;edit,broadcast,periodical,news
heartthrob;heartbeat,object,infatuation,desire,sweetheart
ubiquitous;omnipresent,ever-present,ubiquity,ubiquarian,prevalent,ubiquitin,omnipresent
dimly;indistinctly,murkily,pallidly,dim
bashaw;grandee,valley,fish,siluroid,mississippi
wield;exercise,tool,handle
moreso;alot
joyless;cheerless,sorrowful,cheerless,unhappy,joy,unsmiling,funereal,mirthless
onwhy;
flatin;
airline;people,goods,air,flies,airplane
transparency;foil,transparent,accessibility,scrutiny,input
eileen;
goldblum;
artistry;art,artistic,artist,art,skill
kenn;kenn
peck;pick-at,smack,batch,stumble,wisconsin,key,throw
overally;overall,generally
amputate;amputation,limb,surgical,remove,amputee
bouchet;
wellthoughtout;
cinecitt;
strum;guitar,string,simultaneously
substandard;minimum,requirement,inferior,quality,nonstandard
theodore;emperor,ted,theodora,saint,bogdan
valor;heroism,worth,value,valiant,pluck,bravura,courage,bravery,fearlessness
unmanageable;unwieldy,uncontrollable,uncorrectable,defiant,intractable,disobedient,manageable,submit,uncheckable,ungovernable,incorrigible
ache;hurt,hurt
suicide;suicide-belt,herbicide,oneself,self-destruct,suicide-vest
impale;transfix,death,pierce,spouse,marriage
phoneas;
desoto;desoto,desoto-county,de-soto,indiana,delaware-county,texas
traditional;traditionary,music,composer,tradition,in-lieu-of,orthodox,tralatitious,conventional,classical,traditionalistic
rodrigo;
helmeton;
plantation;grove,plant,planter,displace,farm,medieval
petition;prayer,request,request,official,formal,request,compilation
file;charge,file,form,surface,disc,paper
waco;mclennan-county,north-carolina,kentucky,county-seat,united-states
apartmentnone;
blackandwhite;
mob;throng,gang,syndicate,destructive,cohesive
laughter;laugh,laugh,expression,merriment,movement
goldeneyethis;
sermonize;lecture,moralize,sermon,manner,speak,speech,inculcate
emotionsmikael;
vargas;Getulio-Dornelles-Vargas
jewison;Norman-Jewison
situationsa;
ironic;ironical,irony,sarcastic,humorous
belt;knock,belted-ammunition,pants,weapon,pitch,encircle,loud,strap
predicament;kettle-of-fish,tight-spot,condition,can-of-worms,predicate
macgyver;jury-rig,macgyver,macgyverism
please;asking,request,polite,thank-you,thank
naff;tasteless,bad,heterosexual
mclaglen;
wenders;
rumor;accuracy,gossip,questionable,information,word-of-mouth
rulesone;
overabundance;surfeit,superabundance,excess,embarrassment-of-riches,surfeit,excess,cornucopia
geyser;spring,hot-water-heater,steam,dangerous
egan;south-dakota,california
benton;Thomas-Hart-Benton,polk-county,bossier-parish,kentucky,saline-county,county-seat
dismalplot;
galore;abounding,abundance,many
volleyball;court,player,ball,rectangular,inflated
cartwheel;silver-dollar,spin,gymnastic,outstretched
nurseserial;
imrie;
dummy;blank,dumbbell,pacifier,dumb,person,figure,play,artificial,mute,idiot,half-wit
movingthe;
comebacksif;
disgust;detestation,intense,dislike,dislike
hoteli;
mikurus;
grasshopper;orthoptera,grasshop,student,insect
tangle;ravel,embroil,tousle,entangle,projection,laminaria
atrociousness;atrocity,atrocity,atrocious
jay;John-Jay,perisoreus,jamie,jason,ptilostomus
cemeterymovie;
testator;dies,testify,testimony,legally,valid
relevantdirector;
limitedmost;
hairdye;
projection;protrusion,project,expulsion,protuberance,project,protrude,categorical-product,subspace,throw
humorously;jocularly,jokingly,amusingly,jocularly,humorous
survivorsreleased;
praiseworthy;praise,worthy,worthy
jerker;yanker,jerk,river,chub,hornyhead-chub
falsify;interpolate,fudge,forge,false,falsity
lardass;overweight,obese
ott;ott,over-top,ottawa
bonanza;boom,bonanza,mother-lode,wealth,income,mine
wayne;Mad-Anthony-Wayne,Duke-Wayne,county-seat,usa,nebraska,wayne-county
womanmy;
rickys;
misplace;mislay,mislay,apply,put,location,talent
caterpillar;butterfly,butterfly,crawler,caterpillar-track,larva
soapy;saponaceous,unctuous,soap,soap-opera
amazingly;astonishingly,difficult,strange,wonderfully
schedule;agenda,timetable,timetable,mental-health,allocation
crusade;campaign,religious,holy-war,miles-christi,christian
burrito;tortilla,dish,meat,wrapped,bean
singerclarence;
forsyth;county-seat,georgia,taney-county,usa,missouri
unwatched;unsupervised,watch
bevy;animals,collection,quail
yeller;roarer,yells
levenes;
isonce;
wrath;anger
hypocritical;hypocrite,hypocrisy,insincere
slinky;stealthy,furtive,clingy,thin,toy
believablei;
upandup;
tulkinghorn;
task;undertaking,job,tax,job,chore,piece,execution
sailorjose;
beggar;beg,poor,scoundrel,impoverish,poverty
govind;
bubbly;effervescing,champagne,ebullient,champagne,economic,lively,cheerful,bubble,lively
liethey;
tale;narrative,fib,story,gossip,confidence-man,consider,slander
nicethanks;
outyou;
ec;European-Union,eu,european-union,eec
therapy;diagnosis,quality,treatment,power
unite;unify,connect,unify,coin,union,shilling,unit
lifesize;life-sized
throughly;
darkwolf;
thingalong;
walts;
sinisterall;
braun;Wernher-Magnus-Maximilian-von-Braun,Eva-Braun,braun
stv;
morespoilers;
nonnude;clothed,nude
finlay;finley
fan;sports-fan,winnow,cooling,blades,fond,vane
vendor;seller,dependencies,vend,vending-machine
joejames;
couleur;card,suit
contributers;
turn;become,change-state,turning,twist,sour,direction,left,right,movement,change
farce;stuff,forcemeat,stuff,broad,regularity,method,ludicrous
scandalize;shock,scandalised,shock,offensive,tack,sail
waaaaaaaaaaay;
sard;sardius,russet,carnelian,puce
pullingpower;
france;Jacques-Anatole-Francois-Thibault,luxembourg,appendix:place-names-in-france,country,spain
african;africa,africa,ethnologically
differentif;
gonzales;county-seat,texas,gonzales-county,california,ascension-parish
preppy;posh,prep-school,prep-school
unprepared;unready,lesson,black-mark,prepare,spur-of-the-moment,extemporaneous
century;hundred,hundred,years,hundred-years,time,one-hundred
klapischs;
counterweight;load,weight,bascule-bridge,concrete
gatorade;company,sports-drink
cleverness;inventiveness,brightness,ingenuity,dexterity,clever,cunning,acumen
partial;partial-derivative,fond,overtone,unfair,part,teeth,partial-derivative,one-sided,incomplete
irreconcilable;hostile,uncompromising,reconcile,united-states,opposed,inconsistent,hostile
parachute;authority,device,flying-squirrel,paratrooper,fall
departmenti;
afterwardand;
plummet;plumb-bob,fall,lead,quickly,drop
greece;albania,appendix:place-names-in-greece,hellenic-republic,bulgaria,greek
prose;tedious,dull,repeat,prosaic,way
sunburn;tan,skin,red,skin,tan
sant;
barclays;
empathy;cyberpathy,paranormal,biopathy,telepathy
stalin;Iosif-Vissarionovich-Dzhugashvili
movieengrossing;
car;cable-car,vehicle,automobile,wheels,auto,driving
splendor;magnificence,luster,splendid,appearance,magnificent,light,brilliance,magnificence
halfwitted;
unresolved;undetermined,unsolved,not,resolved,inharmonious
spaghetti;spaghettoni,strand,thin,noodle
kent;Rockwell-Kent,jefferson-county,maritime,east-sussex,cumbria,connecticut
bigardo;
disappear;vanish,vanish,melt,disappearance,vanish,appearance,vanish
aghast;appalled,amazement,terrified
morley;Edward-Williams-Morley,england
pudgy;dumpy,chubby,rotund,chubby,plump,podgy
credulity;gullibility,credulous,incredible,credence,credible,reasonable
submarine;undersea,bomber,underwater,undersea,submerge,torpedo,subaquatic
rear;raise,rise,rearward,buttocks,back,buttocks,soon,breed,back
happinessthe;
aardman;
mulders;
dim;subdued,shadowy,bleak,darken,dimmed,dimly,take-dim-view-of
lengthy;protracted,overextended,dimension,lengthsome,long,lengthish
lovediana;
animalthe;
przybyszewska;
cruiser;cabin-cruiser,cruise,armour,tonnage,yacht,cruising
pocket;pouch,scoop,purse,pouch,poke,offensive-line,shore
wwe;wwe,professional-wrestling
replacement;substitute,refilling,substitution,successor,surrogate,replace,removal,irreplaceable,edge
arcaica;
saw;proverb,power-saw,cutting,tool,wood,old-saw,substance,dmr
citizen;country,burgher,this,person,legally
sausage;blimp,shaped,intestine,penis,synthetic,casing,kishke,pudding,toad-in-hole,kishka,allantois
ohmy;
herethe;
manif;
chug;homemade,pug
renewal;reclamation,refilling,renew,renew,new,offensive
regularly;on-a-regular-basis,pattern,frequency,ordinarily,normally
yue;vietnam,stoneware,tai,canton,cantonese
tricksfinally;
knack;bent,skill,dexterity,knickknack
rhys;
mastery;command,domination,master,expertise,supremacy,command,superiority
bacon;1st-Baron-Verulam,Roger-Bacon,police,gammon,swine,pancetta,back
rub;hang-up,massage,action,touch,stroke,friction
colonialism;word,domination,habit,system,phrase
itso;integrated,satellite,smartcard,international,transport
entiretyall;
cognate;blood-relation,consanguineous,connate,ancestor,derivation,descend,etymon,root,related,related
watt;James-Watt,given-name,derived-unit,wat,energy,power
pregps;
majorly;primarily,sergeant-majorly,significantly,much
morebut;
abundant;plentiful,profuse,copious,rich,ample,supplied,wealthy,superabundant,abounding,rank,voluminous,thick
gavin;gavin,gabhainn,gavan,gawaine
midler;
apt;disposed,liable,pertinent,ready,suited,tendency,disposed,fitted,intelligent
wig;hairpiece,periwig,toupee,hair,fake-hair,fake,baldness,earwig
mimi;
oral;unwritten,aural,mouth,test,examination
animal;fleshly,living,creature,dog,cat,dog-cat
antnio;
australia;austrasie,aust,austria,appendix:countries-of-world,oceania
adversity;ill-luck,adversely,calamity,misfortune,abasement
abdulrahman;
daylewis;
maruja;
convent;nunnery,building,discuss,rules
fianci;
fortunate;lucky,rosy,rosy,lucky,privileged,fortune,successful,luckily,felicitous,fortuitous,well-off,lucky,blessed
gainey;
macbake;
madelene;
antisemitism;anti-Semitism,antisemitism,antisemitic,antisemite,malaysia,iran
tomorrowthe;
pidgeon;pidgin,pigeon
singlet;state,vest,quantum,spin,multiplet
lockhart;usa,texas,caldwell-county,county-seat
disagreethis;
cactus;leaf,succulent,cactaceae,cactoid,texas
slaussen;
eduardo;
threetime;
mellowdramaticill;
patrickwhat;
richter;
cynic;sect,cynicism,philosopher,dog-star,good
jawslike;
keen;penetrative,exquisite,lancinating,bang-up,lament,willingness,enthusiastic,loud,vehement,fierce,sharp
collar;shoe-collar,apprehension,neck,draft-animal,options,load,place
hoopers;hooper
colparkman;
thankyou;
fluffy;downlike,fuzzy,fluffiness
vomit;emetic,regurgitate,stomach
depressive;depression,melancholic,dispirited,depressed,depression
explore;research,exploratory,experience,wander,exploration,sow-one's-wild-oats
summarise;sum-up,summarize,review,prepare,salient,recapitulate
byron;Sixth-Baron-Byron-of-Rochdale,maine,nebraska,michigan,indiana,laporte-county
hinterland;backwoods,sticks,port,ill-defined,undeveloped
timegoodnatured;
ceasarean;
pacificin;
yorker;sandshoe-crusher,tice,ball,bounce,popping-crease,batsman,royal-yorker
recapture;collection,tax,capture,retroactive,capture
peaceful;nonviolent,unaggressive,quiet,amicable,turmoil,peaceable,pacifistic,nonbelligerent,nonviolent,halcyon
roach;cockroach,cyprinidae,limestone,joint,cockroach
waaaay;
curse;execration,excommunicate,bane,offensive,imprecation,inappropriate,hindrance,swear
shafi;
steak;meat,beef,cow,food,cook,filet
paxton;Sir-Joseph-Paxton,cdp,scotland,usa,ford-county,plumas-county
cultist;cult
westernsand;
svenson;
ritualistically;ritual,ritualistic
thereand;
trek;yomp,hike,journey,arduous,ox,mountainous
oder;europe,czech-republic,poland,baltic-sea
shy;diffident,fling,reserved,demure,horse,disinclined,wary,insufficient
fword;
ebb;decline,shallow
bastardizationa;
madewhile;
cavalryman;cavalry,soldier,spahi,lancer,trooper,dragoon,uhlan,cuirassier
unlessenough;
insurance;indemnity,policy,actuary,indemnity,broker,insure,annuity
ratio;proportion,obiter,number,rational,proportion
atterbury;
ew;electronic-warfare,nausea,disgust
horrorvery;
integral;intact,built-in,antiderivative,integer,integration,removable,part,integration
marla;australia,plasticine,modelling-clay,marsupial
bottomthe;
update;upgrade
diversify;dapple,variegate,distinguish,diverse,difference,various
mangano;manganous,manganese,mangani
kerbridge;
victorian;straight-laced,victoria,state,exhibiting,nonmodern
sini;india,girl,fair,skinned
blurryjittery;
beyotch;
turni;
audiencewriter;
finely;exquisitely,fine
ritika;
impressive;moving,impress,impression,magnificent,effective,signal,grandiose,baronial
olympics;Olympic-Games,summer-olympics,olympiad,paralympics,olympic-games,winter-olympics
trex;
counselorwill;
eerier;
schizophrenic;schizoid,schizophrenia,afflicted,reality,insane
colleague;staff,collegiate,profession,unite,member
headin;
existence;universe,being,exist,occur,universe,existential,aseity
seventh;7th,one-seventh,seven
cobbs;cobb
heresome;
cuddly;cuddlesome,suitable,design,cuddle,cuddling
moviebtw;
longdead;
whenver;
mehta;
gusto;enjoyment,vigor,enthusiasm
rescue;remove,danger,california,violence
prattle;chatter,prate,babble,incessantly,babble,babble
surprisedas;
cab;taxi,driver's-cab,droshky,taxicab,unit,measure,taxicab
openmouthed;goggle-eyed
pan;goat-god,all,omni,cooking,depression,god,bi,sluice,cant
disappointment;disappoint,frustration,expectation
johnny;greyback,toilet,lavatory,jonathan,chamber-pot,playing-card
moderately;moderate
neds;ned
montague;massachusetts,california,capulet,montagu,county-seat
ricowhich;
one;right,1,first-rate,unitary,one-and-only,number,first,two,single,special,indefinite,same,combined
puzzle;perplex,brain-teaser,jigsaw,crossword-puzzle,understand,riddle
lau;chinese,liu
britishgaumont;
morose;glowering,grouchy,brood,ill,humour
blame;incrimination,goddamned,censure,source-control,feature,censure,fault
klein;Felix-Klein,Melanie-Klein,Calvin-Richard-Klein,klein
unduly;undeservedly,warrant
kyokushinkai;
lookingthis;
wrench;twist,wring,twist,pull,hand-tool
jamie;james
hardworking;diligent,diligent
sunday;saturday,christian,newspaper
wooden;wood,awkward,woody
velvet;velvety,velvet-textured,soft,fabric,cloth,fine,peaceful
etcif;
woah;
harbour;harbor,seaport,harbor,harbor,harbor,coast,port
factbased;
bruno;Saint-Bruno,Bruno-of-Toul,Giordano-Bruno,nebraska,bear,minnesota,piedmont,italy
aragon;Louis-Aragon,spain,autonomous,medieval,zaragoza
pity;compassion,commiseration,feel-for,misfortune,sympathy
instance;case,exemplify,example,exemplification,example,cite
dangerously;dangerous
polemic;polemical,polemicist,disputant,argument,controversy,polemics
perfectioni;
lucid;crystal-clear,transparent,translucent,elucidate,bright,sane,rational,rational,sane,clear
florinda;
jeep;vehicle,car,four-wheel-drive,sport-utility-vehicle
cheerful;pollyannaish,glad,happy,pleasant,optimistic,buoyant,beaming,cheery,beamish,light-hearted
transform;translate,transformative,transformist,transformation,form
hardhitting;
oppositean;
clayton;st-louis-county,union-county,new-mexico,county-seat,alabama
cabongs;
bounty;amplitude,bounty,bounty,bounty,money,generosity,serving
timeless;dateless,ageless,eternal,ageless,eternal,time
caradan;
scrutiny;examination,study,scrutinize,perscrutation,vote,scrutineer
recall;hark-back,remember,echo,flash-back,think,remember,withdraw,to,search,call,remember
backthis;
trueness;loyalty,truth,loyalty,verity,truthness,truth,constancy
rotj;
renaulti;
adrian;Publius-Aelius-Hadrianus,Edgar-Douglas-Adrian,michigan,lenawee-county,adie,minnesota,oregon
choke;clog,gag,suffocate,die,suffocate,ma,shot,air,competition,floret
